topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,8,raw,1.21941218367283e-06,1.21941218367283e-06
n,1,20,raw,9.431901730749814e-07,9.431901730749814e-07
n,1,46,raw,1.3197238786233356e-06,1.3197238786233356e-06
n,1,53,raw,8.908435233934142e-07,8.908435233934142e-07
n,1,80,raw,9.789177966013085e-07,9.789177966013085e-07
n,1,113,raw,9.908875426845043e-07,9.908875426845043e-07
n,1,140,raw,9.680106813902967e-07,9.680106813902967e-07
n,1,144,raw,1.1480880175440689e-06,1.1480880175440689e-06
n,1,148,raw,1.091596118385496e-06,1.091596118385496e-06
n,1,166,raw,1.0275781505697523e-06,1.0275781505697523e-06
n,1,182,raw,1.117285364671261e-06,1.117285364671261e-06
n,1,203,raw,1.3631508863909403e-06,1.3631508863909403e-06
n,1,210,raw,1.0995646562150796e-06,1.0995646562150796e-06
n,1,242,raw,1.3535244534068624e-06,1.3535244534068624e-06
n,1,258,raw,1.1945553524128627e-06,1.1945553524128627e-06
n,1,285,raw,1.006943989523279e-06,1.006943989523279e-06
n,1,329,raw,1.339884306617023e-06,1.339884306617023e-06
n,1,418,raw,1.095972379516752e-06,1.095972379516752e-06
n,1,479,raw,1.0790485021061613e-06,1.0790485021061613e-06
n,1,489,raw,9.553183417665423e-07,9.553183417665423e-07
n,1,498,raw,1.1370443644409534e-06,1.1370443644409534e-06
n,1,521,raw,1.1524995215950185e-06,1.1524995215950185e-06
n,1,639,raw,1.1129129688924877e-06,1.1129129688924877e-06
n,1,699,raw,1.0749157581813051e-06,1.0749157581813051e-06
n,1,908,raw,1.0046098850580165e-06,1.0046098850580165e-06
n,1,928,raw,1.2853876114604645e-06,1.2853876114604645e-06
n,1,935,raw,9.133670459959831e-07,9.133670459959831e-07
n,1,947,raw,1.1711440492945258e-06,1.1711440492945258e-06
n,1,947,nose,1.1077795534220058e-06,1.1077795534220058e-06
n,1,1063,raw,1.23842482935288e-06,1.23842482935288e-06
n,1,1096,raw,1.089110355678713e-06,1.089110355678713e-06
n,1,1156,raw,9.411068617737328e-07,9.411068617737328e-07
n,1,1192,raw,1.0146189879378653e-06,1.0146189879378653e-06
n,1,1273,raw,1.0370088148192735e-06,1.0370088148192735e-06
n,1,1322,raw,9.98122118289757e-07,9.98122118289757e-07
n,1,1352,raw,1.1091638043581042e-06,1.1091638043581042e-06
n,1,1428,raw,1.0711530649132328e-06,1.0711530649132328e-06
n,1,1436,raw,1.1304766758257756e-06,1.1304766758257756e-06
n,1,1454,raw,1.0335489832868916e-06,1.0335489832868916e-06
n,1,1500,raw,1.114185351980268e-06,1.114185351980268e-06
n,1,1505,raw,8.909809139368008e-07,8.909809139368008e-07
n,1,1556,raw,1.187285647574754e-06,1.187285647574754e-06
n,1,1595,raw,1.1358216625012574e-06,1.1358216625012574e-06
n,1,1605,raw,9.853073379417765e-07,9.853073379417765e-07
n,1,1630,raw,1.0026542440755293e-06,1.0026542440755293e-06
n,1,1661,raw,1.035654463521496e-06,1.035654463521496e-06
n,1,1667,raw,1.0257027724946965e-06,1.0257027724946965e-06
n,1,1681,raw,1.1638553587545175e-06,1.1638553587545175e-06
n,1,1700,raw,1.1716256267391145e-06,1.1716256267391145e-06
n,1,1705,raw,1.2989511333216797e-06,1.2989511333216797e-06
n,1,1718,raw,1.0166796755584073e-06,1.0166796755584073e-06
n,1,1724,raw,7.997276725291158e-07,7.997276725291158e-07
n,1,1764,raw,1.1060644737881375e-06,1.1060644737881375e-06
n,1,1772,raw,1.2428603213265887e-06,1.2428603213265887e-06
n,1,1773,raw,1.0593086017252062e-06,1.0593086017252062e-06
